walking_tick_	current_step_num_	current_link_q_leg_(0)	current_link_q_leg_(1)	current_link_q_leg_(2)	current_link_q_leg_(3)	current_link_q_leg_(4)	current_link_q_leg_(5)	current_link_q_leg_(6)	current_link_q_leg_(7)	current_link_q_leg_(8)	current_link_q_leg_(9)	current_link_q_leg_(10)	current_link_q_leg_(11)
37	0	-2.2537e-06	0.035276	-0.0354797	0.736341	-0.699139	-0.0351033	9.06596e-08	-0.0353128	0.0355328	-0.736424	0.699165	0.0350334
38	0	-2.34305e-06	0.0352816	-0.0355498	0.736347	-0.699088	-0.0351084	3.66015e-07	-0.0353112	0.0356026	-0.73643	0.699114	0.0350285
39	0	-1.63591e-06	0.0352861	-0.0356312	0.736353	-0.699034	-0.0351113	1.93115e-06	-0.0353104	0.0356832	-0.736435	0.699061	0.0350257
40	0	-1.91544e-06	0.0352897	-0.0357168	0.736357	-0.698975	-0.0351118	2.38233e-06	-0.0353102	0.0357681	-0.736437	0.699002	0.0350252
41	0	-3.15752e-06	0.0352923	-0.0357965	0.73636	-0.698915	-0.0351101	1.23964e-06	-0.0353111	0.0358475	-0.736439	0.69894	0.0350269
42	0	-4.19011e-06	0.0352932	-0.0358664	0.736366	-0.698857	-0.0351073	-1.99938e-07	-0.0353133	0.0359174	-0.736443	0.698882	0.0350298
43	0	-3.79004e-06	0.0352924	-0.0359496	0.736375	-0.698788	-0.0351038	-4.17526e-07	-0.0353177	0.0360006	-0.736452	0.698812	0.0350336
44	0	-1.58519e-06	0.0352909	-0.0360154	0.736384	-0.698724	-0.0351016	7.92886e-07	-0.0353226	0.0360662	-0.736462	0.698748	0.0350362
45	0	6.83559e-07	0.0352898	-0.0360927	0.736397	-0.698657	-0.0351011	2.66241e-06	-0.0353271	0.0361435	-0.736475	0.698681	0.035037
46	0	1.21628e-06	0.0352906	-0.0361824	0.736409	-0.698584	-0.0351026	3.41813e-06	-0.0353294	0.0362338	-0.736489	0.69861	0.0350359
47	0	3.10302e-07	0.0352936	-0.0362753	0.736419	-0.698507	-0.0351056	2.83549e-06	-0.0353295	0.0363275	-0.7365	0.698533	0.0350333
48	0	-1.24031e-06	0.0352977	-0.0363693	0.736429	-0.698427	-0.0351088	1.43054e-06	-0.0353283	0.0364223	-0.736511	0.698453	0.0350305
49	0	-2.29391e-06	0.0353022	-0.0364598	0.736441	-0.698341	-0.0351112	-1.54141e-07	-0.0353269	0.0365131	-0.736523	0.698367	0.0350284
50	0	-2.30512e-06	0.0353051	-0.0365472	0.736455	-0.698264	-0.0351118	-5.22115e-07	-0.0353265	0.0366004	-0.736537	0.69829	0.035028
51	0	-1.77981e-06	0.035307	-0.0366508	0.736471	-0.698176	-0.035111	-1.71102e-07	-0.0353274	0.0367037	-0.736552	0.698202	0.0350291
52	0	-7.27281e-07	0.0353074	-0.0367386	0.736485	-0.698083	-0.0351091	-1.77713e-07	-0.0353298	0.0367913	-0.736565	0.698109	0.0350314
53	0	-2.22983e-07	0.0353068	-0.036832	0.736502	-0.697994	-0.0351072	-1.86861e-07	-0.0353331	0.036885	-0.736583	0.69802	0.0350334
54	0	-2.14515e-07	0.0353063	-0.0369376	0.736521	-0.697901	-0.0351063	-1.755e-07	-0.0353361	0.0369913	-0.736603	0.697927	0.0350346
55	0	4.71537e-07	0.0353063	-0.0370449	0.736537	-0.697804	-0.0351065	5.33462e-07	-0.0353387	0.0370992	-0.73662	0.697831	0.0350348
56	0	1.27837e-06	0.0353066	-0.0371531	0.736553	-0.697705	-0.0351076	1.26387e-06	-0.0353408	0.0372078	-0.736638	0.697732	0.0350341
57	0	1.41413e-06	0.0353082	-0.0372628	0.73657	-0.697603	-0.0351094	1.21279e-06	-0.0353415	0.0373179	-0.736656	0.697631	0.0350328
58	0	9.52085e-07	0.0353115	-0.0373723	0.736588	-0.6975	-0.0351115	4.03185e-07	-0.0353405	0.0374276	-0.736674	0.697528	0.0350312
59	0	2.88771e-07	0.0353154	-0.037477	0.736608	-0.697391	-0.0351131	-1.14569e-06	-0.0353388	0.0375325	-0.736693	0.697419	0.03503
60	0	-4.05371e-07	0.0353179	-0.0375905	0.73663	-0.697287	-0.0351134	-2.0693e-06	-0.0353386	0.037646	-0.736715	0.697315	0.0350298
61	0	-7.0275e-07	0.0353189	-0.0377108	0.73665	-0.69718	-0.0351127	-2.3068e-06	-0.0353396	0.0377664	-0.736735	0.697207	0.0350308
62	0	-1.23185e-08	0.0353187	-0.0378309	0.736669	-0.697071	-0.0351115	-1.59002e-06	-0.0353418	0.0378864	-0.736754	0.697098	0.0350324
63	0	9.8185e-07	0.0353176	-0.0379543	0.736687	-0.696959	-0.0351102	-5.28838e-07	-0.0353449	0.0380097	-0.736773	0.696986	0.035034
64	0	1.70022e-06	0.0353165	-0.0380818	0.736706	-0.696845	-0.0351095	2.87152e-07	-0.0353478	0.0381374	-0.736792	0.696873	0.0350351
65	0	2.04644e-06	0.0353166	-0.0382105	0.736725	-0.696729	-0.0351097	6.3365e-07	-0.0353496	0.0382663	-0.736811	0.696757	0.0350353
66	0	1.89028e-06	0.0353181	-0.0383395	0.736744	-0.696612	-0.0351107	3.64595e-07	-0.0353498	0.0383954	-0.736831	0.69664	0.0350346
67	0	1.28547e-06	0.0353205	-0.0384697	0.736764	-0.696493	-0.0351121	-3.83191e-07	-0.0353491	0.0385257	-0.736851	0.696522	0.0350334
68	0	5.3986e-07	0.035323	-0.0386025	0.736784	-0.696374	-0.0351134	-1.20665e-06	-0.0353482	0.0386585	-0.73687	0.696402	0.0350325
69	0	2.89451e-08	0.0353248	-0.0387394	0.736804	-0.696253	-0.0351139	-1.65624e-06	-0.035348	0.0387952	-0.73689	0.69628	0.0350321
70	0	-8.4148e-08	0.0353256	-0.0388809	0.736824	-0.69613	-0.0351137	-1.56108e-06	-0.0353487	0.0389366	-0.73691	0.696157	0.0350326
71	0	1.98517e-07	0.0353257	-0.0390037	0.736842	-0.696017	-0.0351129	-1.42178e-06	-0.03535	0.0390592	-0.736927	0.696044	0.0350335
72	0	3.13989e-07	0.035325	-0.0391877	0.736865	-0.695876	-0.0351118	-7.64173e-08	-0.0353523	0.039243	-0.73695	0.695903	0.0350347
73	0	6.71792e-07	0.0353249	-0.0393272	0.736879	-0.695746	-0.0351112	8.00117e-08	-0.0353538	0.0393824	-0.736964	0.695773	0.0350358
74	0	1.42855e-06	0.0353247	-0.039476	0.736899	-0.695609	-0.0351109	4.21007e-07	-0.0353554	0.039531	-0.736984	0.695636	0.0350362
75	0	9.94605e-07	0.0353254	-0.039619	0.73692	-0.695481	-0.0351112	-2.44726e-07	-0.0353559	0.0396742	-0.737005	0.695508	0.035036
76	0	6.19577e-07	0.035327	-0.0397779	0.736943	-0.69535	-0.0351119	-2.42987e-07	-0.0353556	0.0398329	-0.737027	0.695376	0.0350353
77	0	2.66444e-07	0.0353285	-0.0399411	0.736962	-0.695215	-0.0351127	-6.6538e-08	-0.0353554	0.0399959	-0.737046	0.695241	0.0350348
