walking_tick_	current_step_num_	current_link_q_leg_(0)	current_link_q_leg_(1)	current_link_q_leg_(2)	current_link_q_leg_(3)	current_link_q_leg_(4)	current_link_q_leg_(5)	current_link_q_leg_(6)	current_link_q_leg_(7)	current_link_q_leg_(8)	current_link_q_leg_(9)	current_link_q_leg_(10)	current_link_q_leg_(11)
529	0	-1.3877e-05	0.0181984	-0.130659	0.736095	-0.602382	-0.0180608	-1.56981e-05	-0.0525001	0.128426	-0.731766	0.600272	0.0520693
530	0	-1.23469e-05	0.0178701	-0.13067	0.736121	-0.602394	-0.0177229	-1.42308e-05	-0.0528275	0.128388	-0.731699	0.600241	0.0524065
531	0	-1.57017e-05	0.0175784	-0.130677	0.736141	-0.602405	-0.0174283	-1.76095e-05	-0.0531183	0.128357	-0.731643	0.600214	0.0527003
532	0	-1.43265e-05	0.0172325	-0.130686	0.736164	-0.602418	-0.0170846	-1.62932e-05	-0.0534633	0.12832	-0.731579	0.600185	0.0530429
533	0	-1.58335e-05	0.0168966	-0.130693	0.736184	-0.60243	-0.0167564	-1.78078e-05	-0.0537982	0.128286	-0.731518	0.600157	0.0533702
534	0	-1.62764e-05	0.0165585	-0.130701	0.736204	-0.602441	-0.016423	-1.82305e-05	-0.0541355	0.128251	-0.731455	0.600128	0.0537027
535	0	-1.5638e-05	0.0162208	-0.130711	0.736225	-0.602453	-0.016084	-1.75532e-05	-0.0544722	0.128214	-0.731388	0.600097	0.0540409
536	0	-1.42262e-05	0.0158584	-0.130721	0.73625	-0.602467	-0.0157129	-1.60994e-05	-0.0548335	0.128171	-0.731312	0.600064	0.0544111
537	0	-1.66908e-05	0.0155177	-0.13073	0.736274	-0.602481	-0.0153659	-1.84923e-05	-0.0551732	0.128132	-0.73124	0.600031	0.054757
538	0	-1.63965e-05	0.0151519	-0.130736	0.736292	-0.602494	-0.015011	-1.8251e-05	-0.0555379	0.128092	-0.731172	0.600001	0.0551107
539	0	-1.74287e-05	0.0147784	-0.130741	0.736313	-0.602507	-0.0146469	-1.93501e-05	-0.0559104	0.128051	-0.731102	0.59997	0.0554738
540	0	-1.55931e-05	0.0143831	-0.13075	0.736338	-0.602522	-0.014249	-1.7578e-05	-0.0563045	0.128003	-0.731021	0.599936	0.0558706
541	0	-1.65366e-05	0.0140211	-0.130757	0.736362	-0.602538	-0.0138784	-1.84826e-05	-0.0566653	0.127957	-0.730943	0.599902	0.05624
542	0	-1.57482e-05	0.0136266	-0.13076	0.736379	-0.602551	-0.0134976	-1.77358e-05	-0.0570585	0.127912	-0.730868	0.59987	0.0566196
543	0	-1.79947e-05	0.0132216	-0.130763	0.736397	-0.602565	-0.0131054	-1.99541e-05	-0.0574623	0.127866	-0.73079	0.599837	0.0570107
544	0	-1.95608e-05	0.0128143	-0.130769	0.736417	-0.602579	-0.0127042	-2.14594e-05	-0.0578683	0.127819	-0.730709	0.599802	0.0574106
545	0	-1.95927e-05	0.0124096	-0.130775	0.736439	-0.602594	-0.0122952	-2.14689e-05	-0.0582717	0.12777	-0.730624	0.599766	0.0578185
546	0	-2.5317e-05	0.0120918	-0.130773	0.736448	-0.602604	-0.0119937	-2.72541e-05	-0.0585886	0.127735	-0.730566	0.599741	0.0581191
547	0	-2.24109e-05	0.0115851	-0.130783	0.736484	-0.602627	-0.011458	-2.43452e-05	-0.0590931	0.127662	-0.730445	0.599691	0.0586528
548	0	-1.98711e-05	0.0111278	-0.130786	0.736505	-0.602644	-0.0110044	-2.1852e-05	-0.0595487	0.127603	-0.730349	0.599652	0.0591045
549	0	-2.10385e-05	0.0106834	-0.130788	0.736524	-0.60266	-0.0105701	-2.30288e-05	-0.0599916	0.127549	-0.730259	0.599614	0.0595372
550	0	-2.11842e-05	0.0102298	-0.130789	0.736542	-0.602675	-0.0101256	-2.32162e-05	-0.0604437	0.127492	-0.730166	0.599576	0.0599802
551	0	-2.02103e-05	0.00977387	-0.13079	0.736561	-0.602692	-0.00967088	-2.23006e-05	-0.0608979	0.127431	-0.730068	0.599536	0.0604335
552	0	-1.99033e-05	0.00930421	-0.13079	0.736579	-0.602708	-0.00920383	-2.20345e-05	-0.0613659	0.127369	-0.729966	0.599495	0.0608991
553	0	-2.04794e-05	0.00882285	-0.13079	0.736597	-0.602724	-0.00872559	-2.26111e-05	-0.0618454	0.127306	-0.729863	0.599453	0.0613757
554	0	-2.16539e-05	0.00833619	-0.130789	0.736616	-0.602742	-0.00823922	-2.37838e-05	-0.0623301	0.127241	-0.729757	0.59941	0.0618602
555	0	-2.29268e-05	0.0078445	-0.130788	0.736635	-0.60276	-0.0077461	-2.50936e-05	-0.0628198	0.127173	-0.729648	0.599366	0.0623514
556	0	-2.39814e-05	0.00734345	-0.130784	0.736653	-0.602778	-0.00724556	-2.6212e-05	-0.0633188	0.127102	-0.729537	0.599321	0.0628498
557	0	-2.74073e-05	0.00686433	-0.130785	0.736677	-0.602799	-0.00675179	-2.94893e-05	-0.0637955	0.127031	-0.72942	0.599273	0.063341
558	0	-2.37058e-05	0.00631004	-0.130774	0.736682	-0.602813	-0.00623355	-2.60162e-05	-0.0643479	0.126959	-0.729311	0.59923	0.0638571
559	0	-3.26902e-05	0.00590904	-0.130766	0.736687	-0.602825	-0.00585231	-3.49858e-05	-0.0647474	0.126908	-0.729228	0.599196	0.064237
560	0	-3.26902e-05	0.00590904	-0.130766	0.736687	-0.602825	-0.00585231	-3.49858e-05	-0.0647474	0.126908	-0.729228	0.599196	0.064237
561	0	-3.26902e-05	0.00590904	-0.130766	0.736687	-0.602825	-0.00585231	-3.49858e-05	-0.0647474	0.126908	-0.729228	0.599196	0.064237
562	0	-1.02189e-07	0.00369856	-0.130613	0.736578	-0.602831	-0.00413948	-4.94179e-06	-0.0668359	0.12675	-0.729127	0.599171	0.0655547
563	0	2.88973e-05	0.00386136	-0.130906	0.736981	-0.602988	-0.00251719	-6.76289e-06	-0.0668108	0.126382	-0.728259	0.598799	0.0673392
564	0	-3.23296e-05	0.00315933	-0.130724	0.73683	-0.602986	-0.00251088	-5.708e-05	-0.0675653	0.126371	-0.728376	0.598838	0.0675319
565	0	-6.66456e-05	0.00250162	-0.130667	0.736762	-0.602976	-0.00247289	-7.59362e-05	-0.0682475	0.126391	-0.728438	0.59887	0.0677273
566	0	-6.672e-05	0.00197737	-0.130694	0.736728	-0.602953	-0.00228246	-6.14207e-05	-0.0687639	0.126408	-0.728402	0.598864	0.0679847
567	0	-2.41863e-05	0.0013537	-0.130708	0.736707	-0.602934	-0.0017608	-9.1155e-06	-0.0693523	0.126307	-0.728213	0.598816	0.0685005
568	0	-1.41029e-05	0.000557855	-0.130669	0.736702	-0.602941	-0.000925938	2.20779e-06	-0.0701024	0.126131	-0.727968	0.598741	0.0692628
569	0	-1.41326e-05	0.000402706	-0.130676	0.73673	-0.602952	-0.000684892	2.20085e-06	-0.0702458	0.126082	-0.727893	0.598714	0.0694784
570	0	-3.86303e-05	5.46999e-05	-0.130642	0.736705	-0.602955	-0.000401507	-2.44544e-05	-0.0705824	0.126055	-0.727861	0.598697	0.0697324
571	0	-3.43016e-05	-0.00173849	-0.130714	0.737007	-0.60311	0.00234307	-4.43482e-05	-0.072244	0.125651	-0.72725	0.598457	0.0719836
572	0	2.44828e-05	-0.00202215	-0.130712	0.737067	-0.603173	0.00307548	-8.44126e-06	-0.0725969	0.125495	-0.727013	0.598333	0.0727794
573	0	-2.18974e-05	-0.00257776	-0.130577	0.736971	-0.603186	0.00330863	-6.45957e-05	-0.0732109	0.125406	-0.726946	0.598295	0.0731599
574	0	-2.18974e-05	-0.00257776	-0.130577	0.736971	-0.603186	0.00330863	-6.45957e-05	-0.0732109	0.125406	-0.726946	0.598295	0.0731599
575	0	-2.18974e-05	-0.00257776	-0.130577	0.736971	-0.603186	0.00330863	-6.45957e-05	-0.0732109	0.125406	-0.726946	0.598295	0.0731599
576	0	-1.51907e-05	-0.00518761	-0.130375	0.736677	-0.603112	0.00480086	-5.17301e-05	-0.0757523	0.125325	-0.726885	0.598275	0.0744585
577	0	4.64355e-05	-0.00507943	-0.130735	0.737018	-0.603179	0.00637076	1.72582e-05	-0.0757246	0.124936	-0.725866	0.597867	0.0762356
578	0	-6.31074e-06	-0.00616172	-0.130471	0.736851	-0.603189	0.00676457	-2.56697e-05	-0.0768424	0.12481	-0.725911	0.597891	0.076767
579	0	-4.6416e-05	-0.00731015	-0.13034	0.736768	-0.6032	0.00721719	-5.27928e-05	-0.078008	0.124769	-0.725971	0.597927	0.0773363
580	0	-5.9773e-05	-0.00799401	-0.130357	0.736757	-0.603202	0.00762014	-5.29174e-05	-0.0786857	0.12477	-0.725933	0.597918	0.0777911
581	0	-2.66892e-05	-0.00864699	-0.130322	0.736713	-0.603198	0.008196	-1.159e-05	-0.0793138	0.124635	-0.725735	0.59787	0.0783698
582	0	-3.85495e-05	-0.00942203	-0.130234	0.736655	-0.603205	0.00898997	-2.1425e-05	-0.0800532	0.124419	-0.725432	0.597776	0.0791186
583	0	-7.18015e-05	-0.0104093	-0.130216	0.736614	-0.603207	0.0100329	-5.48844e-05	-0.0810056	0.124276	-0.725127	0.597645	0.0800864
584	0	-9.77912e-05	-0.0111793	-0.130286	0.736654	-0.603222	0.0110428	-8.24985e-05	-0.0817529	0.124191	-0.724848	0.597502	0.0810293
585	0	-0.000103296	-0.0118847	-0.130282	0.736689	-0.603252	0.0119634	-9.47531e-05	-0.0824481	0.124048	-0.724601	0.597385	0.0819072
586	0	-6.98623e-05	-0.0128036	-0.130159	0.73669	-0.603298	0.0130148	-7.37532e-05	-0.0833655	0.123773	-0.724317	0.597282	0.0829402
587	0	-3.45672e-05	-0.0136836	-0.130064	0.736675	-0.603331	0.0139362	-4.61548e-05	-0.0842489	0.123545	-0.724059	0.597192	0.0838667
588	0	-2.12348e-05	-0.014157	-0.130039	0.736648	-0.603334	0.0143748	-3.40928e-05	-0.0847246	0.123469	-0.723941	0.597145	0.0843128
589	0	-2.12348e-05	-0.014157	-0.130039	0.736648	-0.603334	0.0143748	-3.40928e-05	-0.0847246	0.123469	-0.723941	0.597145	0.0843128
590	0	6.51275e-06	-0.0165937	-0.129774	0.736326	-0.603272	0.0159148	-3.89748e-06	-0.0870714	0.123328	-0.723864	0.597115	0.085572
591	0	2.18946e-05	-0.0177244	-0.129858	0.736437	-0.60331	0.0181612	5.50574e-06	-0.0881701	0.122838	-0.722924	0.596776	0.0876105
592	0	2.18946e-05	-0.0177244	-0.129858	0.736437	-0.60331	0.0181612	5.50574e-06	-0.0881701	0.122838	-0.722924	0.596776	0.0876105
593	0	5.65709e-05	-0.0193416	-0.129695	0.736203	-0.603267	0.0198951	2.21284e-05	-0.0899057	0.122511	-0.722374	0.59652	0.0895743
594	0	-8.71902e-05	-0.0201324	-0.129835	0.736475	-0.603403	0.0212626	-7.70389e-05	-0.0906572	0.122257	-0.721783	0.596229	0.091048
595	0	-0.000104397	-0.0210464	-0.129604	0.736211	-0.603368	0.0214863	-7.36492e-05	-0.0915056	0.122135	-0.721712	0.596244	0.0910562
596	0	-0.000122017	-0.0222705	-0.129447	0.736012	-0.603331	0.0220066	-9.91493e-05	-0.0927495	0.121936	-0.721434	0.596195	0.0915716
597	0	-0.000114674	-0.0235739	-0.129433	0.735923	-0.603294	0.022871	-0.00010903	-0.0941102	0.12177	-0.721074	0.596084	0.0925784
598	0	-3.9793e-05	-0.0245286	-0.129502	0.735986	-0.603294	0.0239785	-4.84912e-05	-0.0951094	0.121515	-0.72059	0.59592	0.0938748
599	0	1.55696e-05	-0.0256344	-0.12946	0.736026	-0.60332	0.0253322	1.80274e-06	-0.0962231	0.121164	-0.72009	0.595747	0.0953648
600	0	1.33588e-05	-0.0270005	-0.129317	0.736003	-0.603354	0.0268338	2.99472e-06	-0.0975596	0.120809	-0.719658	0.595585	0.0968997
601	0	-1.70498e-05	-0.0281937	-0.129203	0.735976	-0.603382	0.0282467	-2.05418e-05	-0.098665	0.120553	-0.71933	0.595433	0.0981407
602	0	-2.90309e-05	-0.0292845	-0.1291	0.735879	-0.603373	0.0294935	-3.32912e-05	-0.0996689	0.120351	-0.71902	0.595278	0.099135
603	0	-2.90309e-05	-0.0292845	-0.1291	0.735879	-0.603373	0.0294935	-3.32912e-05	-0.0996689	0.120351	-0.71902	0.595278	0.099135
604	0	-2.90309e-05	-0.0292845	-0.1291	0.735879	-0.603373	0.0294935	-3.32912e-05	-0.0996689	0.120351	-0.71902	0.595278	0.099135
605	0	-8.98055e-05	-0.0325942	-0.1289	0.735776	-0.603359	0.0345602	-8.03916e-05	-0.102752	0.119439	-0.717504	0.594607	0.103084
606	0	-8.98055e-05	-0.0325942	-0.1289	0.735776	-0.603359	0.0345602	-8.03916e-05	-0.102752	0.119439	-0.717504	0.594607	0.103084
607	0	-0.000111201	-0.0351198	-0.128545	0.73482	-0.603045	0.0356725	-8.4691e-05	-0.10582	0.118961	-0.71617	0.593972	0.105467
608	0	-0.00012147	-0.036563	-0.128453	0.734643	-0.603002	0.0362498	-4.84291e-05	-0.107308	0.118905	-0.716036	0.593806	0.106393
609	0	-6.72356e-05	-0.0376186	-0.128304	0.734719	-0.603084	0.0371509	-9.96537e-07	-0.108321	0.118477	-0.715649	0.593672	0.107478
610	0	-9.96355e-05	-0.0394492	-0.128164	0.734654	-0.603127	0.0386737	-3.27569e-05	-0.110045	0.118157	-0.71527	0.593582	0.108942
611	0	-7.26734e-05	-0.0409156	-0.128189	0.734584	-0.603099	0.0403158	-5.55471e-06	-0.111403	0.117913	-0.714769	0.593444	0.110414
612	0	-5.27906e-05	-0.0421414	-0.128186	0.734484	-0.603039	0.04199	4.47382e-06	-0.112543	0.117598	-0.714139	0.593244	0.1119
613	0	-5.41039e-05	-0.0435173	-0.128083	0.7343	-0.602953	0.0436547	-1.50689e-05	-0.113869	0.117248	-0.713504	0.593018	0.11342
614	0	-6.42755e-05	-0.045007	-0.127913	0.734061	-0.602854	0.0452458	-4.5557e-05	-0.115335	0.116897	-0.712911	0.59278	0.114914
615	0	-5.71876e-05	-0.0464242	-0.12775	0.733815	-0.602746	0.0467074	-5.57803e-05	-0.116742	0.11657	-0.712337	0.592523	0.116321
616	0	-2.4322e-05	-0.0478279	-0.127634	0.733555	-0.602624	0.0480769	-3.4768e-05	-0.118152	0.116281	-0.711746	0.592239	0.117704
617	0	-3.08743e-05	-0.048583	-0.127569	0.733406	-0.602561	0.0487541	-4.49844e-05	-0.118915	0.116146	-0.711441	0.592088	0.118412
618	0	-3.08743e-05	-0.048583	-0.127569	0.733406	-0.602561	0.0487541	-4.49844e-05	-0.118915	0.116146	-0.711441	0.592088	0.118412
619	0	-6.58098e-05	-0.0523093	-0.127402	0.733117	-0.60241	0.0544144	-3.70695e-06	-0.122285	0.115162	-0.709512	0.591132	0.122784
620	0	-6.58098e-05	-0.0523093	-0.127402	0.733117	-0.60241	0.0544144	-3.70695e-06	-0.122285	0.115162	-0.709512	0.591132	0.122784
621	0	0.000200554	-0.0554008	-0.1265	0.731681	-0.601787	0.0553394	-2.61363e-05	-0.12636	0.114419	-0.708123	0.590405	0.125773
622	0	-0.000194972	-0.0568704	-0.126235	0.731307	-0.601304	0.0562395	-7.14318e-05	-0.127895	0.114202	-0.707449	0.589746	0.12714
623	0	-0.00026096	-0.0590744	-0.125926	0.731154	-0.601173	0.0576232	4.416e-05	-0.129944	0.113943	-0.707295	0.589535	0.128625
624	0	-0.000146562	-0.0604203	-0.126113	0.731671	-0.601657	0.0616778	0.000206629	-0.130356	0.113161	-0.705984	0.589267	0.130835
625	0	-6.1113e-05	-0.0620749	-0.125885	0.730923	-0.601713	0.0629832	0.000139103	-0.131844	0.113104	-0.705539	0.589343	0.131135
626	0	3.12334e-06	-0.0637716	-0.125644	0.730304	-0.601726	0.0638732	2.60742e-05	-0.133819	0.112782	-0.704773	0.589264	0.132337
627	0	6.20968e-05	-0.0658061	-0.125554	0.729704	-0.60164	0.0652169	-4.05034e-05	-0.136259	0.112424	-0.703713	0.588987	0.134711
628	0	0.000132032	-0.0670375	-0.125534	0.729426	-0.601559	0.0665443	2.04397e-05	-0.137617	0.111966	-0.702695	0.588638	0.136738
629	0	0.000151208	-0.0685157	-0.125193	0.729069	-0.601464	0.0681057	8.09762e-05	-0.139003	0.111305	-0.701798	0.588316	0.138454
630	0	1.92563e-05	-0.0700546	-0.124847	0.728746	-0.601366	0.0700517	3.26654e-05	-0.140165	0.110807	-0.701129	0.587984	0.139585
631	0	-1.72091e-05	-0.0726728	-0.124326	0.728044	-0.601118	0.0721553	1.90874e-05	-0.142627	0.110278	-0.700409	0.587638	0.141087
632	0	-6.63467e-05	-0.074265	-0.124269	0.727837	-0.60096	0.0741134	-3.44517e-05	-0.144205	0.109795	-0.699383	0.587138	0.142841
633	0	-4.75551e-05	-0.0756368	-0.124092	0.727645	-0.60084	0.0758741	-3.63872e-05	-0.145616	0.109143	-0.698306	0.586646	0.144631
634	0	2.85244e-05	-0.0771712	-0.123706	0.727319	-0.600723	0.0776335	2.59539e-05	-0.14717	0.108296	-0.697158	0.586165	0.14646
635	0	3.86552e-05	-0.0788486	-0.123418	0.7269	-0.600571	0.0792342	4.42088e-05	-0.148818	0.107743	-0.696238	0.585747	0.148006
636	0	3.76847e-05	-0.0804533	-0.123231	0.726473	-0.600392	0.0807607	5.19388e-05	-0.150388	0.107305	-0.695346	0.58534	0.149458
637	0	4.14426e-05	-0.081917	-0.122987	0.726072	-0.600232	0.0822452	5.27544e-05	-0.151828	0.106755	-0.6944	0.584955	0.150918
638	0	3.58499e-05	-0.0833867	-0.122651	0.725683	-0.600104	0.0836698	3.87399e-05	-0.153288	0.106136	-0.6935	0.584618	0.152374
639	0	9.53586e-05	-0.0851697	-0.122272	0.725277	-0.599971	0.0854075	4.59644e-05	-0.155123	0.105452	-0.692498	0.583999	0.154417
640	0	8.49313e-05	-0.086657	-0.121944	0.72491	-0.599858	0.0870124	7.76545e-05	-0.156538	0.104856	-0.691693	0.583731	0.156028
641	0	7.2579e-05	-0.0882118	-0.121707	0.724477	-0.599704	0.0885854	0.000118819	-0.157986	0.104336	-0.690802	0.583499	0.157524
642	0	1.55412e-05	-0.0897306	-0.121477	0.724028	-0.599541	0.0901107	0.000102961	-0.159377	0.10383	-0.689852	0.583236	0.158886
643	0	-5.77509e-05	-0.0912403	-0.121163	0.723583	-0.599395	0.0915776	6.25324e-05	-0.160783	0.103255	-0.688883	0.582935	0.160236
644	0	-9.94715e-05	-0.0926834	-0.120874	0.723186	-0.599259	0.093065	5.18024e-05	-0.162104	0.102723	-0.687968	0.582591	0.161575
645	0	-9.96582e-05	-0.0939903	-0.120644	0.722817	-0.599132	0.0943111	3.71346e-05	-0.163329	0.10237	-0.687311	0.582307	0.162727
646	0	-2.28979e-05	-0.0955151	-0.120438	0.722436	-0.59899	0.0956702	-2.50672e-05	-0.164776	0.102089	-0.686846	0.582289	0.164341
647	0	-3.05731e-06	-0.0969293	-0.120192	0.722009	-0.598845	0.0970802	-7.52958e-05	-0.165955	0.101955	-0.686652	0.582461	0.165529
648	0	2.54631e-05	-0.0984223	-0.119961	0.721555	-0.598689	0.0983906	-8.75091e-05	-0.167261	0.101967	-0.686682	0.582829	0.166919
649	0	-4.29241e-05	-0.0999466	-0.119728	0.721118	-0.598549	0.0996869	6.42711e-05	-0.168519	0.102183	-0.686852	0.582956	0.167987
650	0	-6.15348e-06	-0.101517	-0.119429	0.720746	-0.598448	0.100952	5.98362e-05	-0.169806	0.102461	-0.687361	0.583358	0.169392
651	0	3.66946e-05	-0.103063	-0.119065	0.720378	-0.598375	0.102244	4.14928e-05	-0.170957	0.102901	-0.688186	0.583975	0.170645
652	0	3.74987e-05	-0.10455	-0.118783	0.720011	-0.598296	0.103383	5.7759e-06	-0.172098	0.103525	-0.688943	0.585166	0.171536
653	0	2.79026e-05	-0.106066	-0.11861	0.719723	-0.598221	0.104476	1.10297e-05	-0.173291	0.104414	-0.689861	0.586018	0.172767
654	0	-9.56402e-05	-0.107543	-0.118255	0.719459	-0.59819	0.105535	0.00010613	-0.174259	0.105373	-0.69101	0.586931	0.174004
655	0	-9.63948e-05	-0.109056	-0.117796	0.719167	-0.598153	0.106618	5.93128e-05	-0.175175	0.106446	-0.692589	0.58783	0.175239
656	0	-8.23971e-05	-0.110447	-0.11742	0.71885	-0.598075	0.107582	7.70457e-06	-0.176067	0.107697	-0.694317	0.58874	0.176448
657	0	-3.36445e-05	-0.111854	-0.117101	0.71848	-0.59794	0.108522	-2.67313e-05	-0.177158	0.109148	-0.696265	0.589668	0.177654
658	0	4.34686e-05	-0.113159	-0.116775	0.718096	-0.597771	0.109428	-5.34546e-05	-0.178355	0.11068	-0.698424	0.590607	0.178849
659	0	0.000100551	-0.114332	-0.116454	0.717716	-0.597584	0.110295	-5.34163e-05	-0.17961	0.112317	-0.700784	0.591553	0.180033
660	0	0.000114744	-0.115359	-0.116173	0.717347	-0.597386	0.111123	-3.28075e-05	-0.180869	0.114109	-0.703318	0.592501	0.181205
661	0	0.000119029	-0.11629	-0.115895	0.716958	-0.597166	0.111975	-1.67563e-05	-0.182173	0.116128	-0.706147	0.59345	0.18237
662	0	6.55726e-05	-0.117043	-0.115638	0.7166	-0.596976	0.11269	1.09275e-05	-0.183303	0.118004	-0.708773	0.594386	0.183503
663	0	5.04799e-05	-0.117849	-0.115488	0.716194	-0.596728	0.113516	3.78294e-05	-0.184607	0.120428	-0.711947	0.595327	0.184644
664	0	1.1957e-05	-0.118512	-0.115247	0.715801	-0.596516	0.114277	3.08476e-05	-0.18573	0.122671	-0.714995	0.596249	0.185753
665	0	-5.06361e-05	-0.119209	-0.115037	0.715392	-0.596299	0.115041	6.78086e-05	-0.186879	0.125112	-0.718202	0.59716	0.186851
666	0	-0.000115504	-0.119922	-0.114871	0.714982	-0.596075	0.115811	8.40207e-05	-0.188026	0.12773	-0.721529	0.598053	0.187935
667	0	-0.000205658	-0.120618	-0.114728	0.714628	-0.595894	0.116433	0.000107354	-0.189037	0.129975	-0.724371	0.59891	0.188981
668	0	-0.00013297	-0.121582	-0.114619	0.714142	-0.595588	0.117444	6.20774e-05	-0.190449	0.133723	-0.728917	0.599774	0.190076
669	0	-0.000172721	-0.122372	-0.114024	0.713731	-0.595456	0.11816	6.95977e-05	-0.191389	0.136108	-0.732351	0.600599	0.191101
670	0	-0.000214516	-0.123283	-0.113917	0.713416	-0.595276	0.11883	0.000165713	-0.192344	0.13917	-0.735974	0.601391	0.192127
671	0	-0.000185007	-0.124302	-0.113944	0.713089	-0.595053	0.119482	0.000118081	-0.193355	0.142426	-0.739667	0.602151	0.193139
672	0	-0.000202908	-0.124956	-0.11387	0.712881	-0.594932	0.119848	8.41093e-05	-0.193956	0.144339	-0.742005	0.602807	0.194046
673	0	-3.59639e-05	-0.12622	-0.114003	0.712448	-0.594568	0.120744	-2.45508e-05	-0.195059	0.149608	-0.747845	0.603552	0.195126
674	0	-4.27464e-05	-0.127027	-0.113113	0.71203	-0.594481	0.121287	-5.20683e-05	-0.195688	0.152106	-0.751554	0.604204	0.196072
675	0	-0.000145883	-0.127756	-0.113052	0.711807	-0.594345	0.121703	9.30718e-05	-0.196363	0.155004	-0.75478	0.6048	0.197004
676	0	-2.78292e-05	-0.128794	-0.113474	0.711483	-0.593993	0.122372	2.5384e-06	-0.197667	0.159836	-0.759536	0.605354	0.197972
677	0	4.5254e-05	-0.129354	-0.113095	0.711222	-0.593857	0.12278	-0.000131532	-0.19847	0.162131	-0.762577	0.605865	0.198866
678	0	-5.68319e-06	-0.130027	-0.113094	0.710938	-0.59359	0.123415	3.96742e-05	-0.199565	0.16694	-0.76781	0.606323	0.199807
679	0	-5.65826e-05	-0.130444	-0.11285	0.710675	-0.593447	0.123796	-3.196e-07	-0.200295	0.169614	-0.770998	0.606734	0.200682
680	0	-1.75199e-05	-0.131073	-0.112975	0.710284	-0.593118	0.124427	5.88613e-05	-0.201514	0.174458	-0.775989	0.607068	0.20159
681	0	-1.01283e-05	-0.131463	-0.112656	0.709928	-0.592913	0.124926	-1.54254e-05	-0.202379	0.177838	-0.779872	0.607363	0.202449
682	0	-6.403e-05	-0.13188	-0.112685	0.709652	-0.592682	0.125423	7.76151e-05	-0.203237	0.181709	-0.783876	0.607594	0.203296
683	0	-0.00010377	-0.132301	-0.112812	0.709372	-0.592429	0.125928	6.64921e-05	-0.204102	0.185685	-0.787876	0.607764	0.204129
684	0	-0.000169448	-0.132664	-0.112798	0.709155	-0.592272	0.126268	7.41206e-05	-0.204731	0.188277	-0.790652	0.607901	0.204905
685	0	-0.000169448	-0.132664	-0.112798	0.709155	-0.592272	0.126268	7.41206e-05	-0.204731	0.188277	-0.790652	0.607901	0.204905
686	0	-0.000169448	-0.132664	-0.112798	0.709155	-0.592272	0.126268	7.41206e-05	-0.204731	0.188277	-0.790652	0.607901	0.204905
687	0	0.000270319	-0.134004	-0.113084	0.707755	-0.591237	0.128781	-0.000721127	-0.207109	0.202584	-0.804506	0.607753	0.207311
688	0	0.000270319	-0.134004	-0.113084	0.707755	-0.591237	0.128781	-0.000721127	-0.207109	0.202584	-0.804506	0.607753	0.207311
689	0	-0.00022475	-0.134648	-0.111372	0.707237	-0.591348	0.129172	-0.000197764	-0.207801	0.204634	-0.807977	0.607563	0.208653
690	0	0.00080388	-0.134489	-0.108214	0.707035	-0.59117	0.129339	-0.00062873	-0.209892	0.214722	-0.817906	0.607023	0.209552
691	0	0.000194285	-0.135109	-0.109264	0.707902	-0.591239	0.129549	0.000235713	-0.210249	0.218288	-0.820374	0.606695	0.21019
692	0	0.00047491	-0.135997	-0.111597	0.708205	-0.590717	0.129917	0.000149032	-0.21116	0.222583	-0.823136	0.606239	0.210888
693	0	0.00078256	-0.136637	-0.112465	0.707839	-0.59017	0.130264	-7.19794e-05	-0.21169	0.225516	-0.826443	0.605705	0.211541
694	0	0.000595303	-0.13701	-0.113119	0.707346	-0.589705	0.13052	0.000139622	-0.2117	0.228818	-0.829886	0.605085	0.212142
695	0	0.00035721	-0.137606	-0.114199	0.706714	-0.589158	0.130818	0.000232463	-0.21209	0.23319	-0.833511	0.604359	0.212747
696	0	0.000150939	-0.138257	-0.114519	0.706084	-0.588813	0.131158	7.85844e-05	-0.212793	0.236618	-0.836624	0.603608	0.21335
697	0	-0.000374703	-0.138798	-0.114509	0.705556	-0.588651	0.131526	0.000137283	-0.213484	0.241003	-0.840397	0.602732	0.213927
698	0	-0.000834324	-0.13911	-0.114262	0.705305	-0.588698	0.131731	0.000164618	-0.214012	0.24462	-0.843362	0.601827	0.214478
699	0	-0.00120798	-0.139366	-0.113869	0.705152	-0.588847	0.131884	0.000185006	-0.214597	0.248589	-0.846379	0.600806	0.215022
700	0	-0.00137129	-0.139508	-0.113523	0.70506	-0.588993	0.13204	0.000201857	-0.215137	0.252871	-0.849338	0.59967	0.215547
701	0	-0.00114144	-0.139517	-0.113202	0.70497	-0.589059	0.132256	0.000146214	-0.215645	0.257102	-0.85209	0.598446	0.216049
702	0	-0.000590926	-0.139451	-0.113121	0.704861	-0.588963	0.132557	3.08914e-05	-0.216247	0.261688	-0.854786	0.597118	0.21653
703	0	-5.47446e-05	-0.139378	-0.113071	0.704714	-0.58875	0.132835	-8.39005e-05	-0.216858	0.265693	-0.857117	0.595735	0.21699
704	0	0.000331342	-0.13927	-0.113035	0.70459	-0.588469	0.133084	-8.68853e-05	-0.217365	0.269464	-0.859396	0.594275	0.217424
705	0	0.00055133	-0.139167	-0.112943	0.704507	-0.588174	0.133319	-3.74425e-05	-0.217778	0.272914	-0.861629	0.592742	0.21783
706	0	0.00062676	-0.139172	-0.112872	0.704456	-0.587888	0.133562	3.70249e-05	-0.218204	0.276221	-0.863804	0.591121	0.21821
